Manufacturer,Model,Year,Type,SubType,Size_Class,Price,Currency,Serial_Number,Meter_Reads,Meter_Reads_UOM,URL,Seller_City,Seller_State,Seller_Zip,Seller_Country,Seller_Name,Condition,Machine_Location
Caterpillar,315FL,2017,Excavators,Standard Excavators,Null,98000,USD, 21E013, 6740,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/315fl/id/39000831, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,321D LCR,2013,Excavators,Large Excavators,148 hp,95000,USD, 21E034, 5375,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/321d_lcr/id/39866745, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,336DL,2010,Excavators,Large Excavators,268 hp,92000,USD, 19E007, 11788,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/336dl/id/20622814, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,320DL,2008,Excavators,Large Excavators,148 hp,78000,USD, 20E058, 6525,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/320dl/id/36756704, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,328D LCR,2012,Excavators,Large Excavators,204 hp,76000,USD, 21E029, 9232,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/328d_lcr/id/39866746, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,308E2 CR,2017,Excavators,Mid-Sized Excavators,67 hp,58500,USD, 21E024, 6640,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/308e2_cr/id/39202060, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,336EL,2012,Excavators,Large Excavators,323 hp,0,USD, 21E016, 8820,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/336el/id/39304900, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Volvo,EC380D,2018,Excavators,Large Excavators,293 hp,190000,USD, EC380EL311666, 4500,Hours,https://www.constructionequipmentguide.com/used-equipment/volvo/excavators/ec380d/id/39388496, STATEN ISLAND,NY, 10303,US,ESSCO Truck & Equipment,Used," Staten Island, NY"
Volvo,EC460C,2008,Excavators,Large Excavators,329 hp,85000,USD, EC460C110201,Null,Null,https://www.constructionequipmentguide.com/used-equipment/volvo/excavators/ec460c/id/39388497, STATEN ISLAND,NY, 10303,US,ESSCO Truck & Equipment,Used," Staten Island, NY"
Link-Belt,235 X3 SPIN ACE,2014,Excavators,Large Excavators,Null,74888,USD,Null, 7714,Hours,https://www.constructionequipmentguide.com/used-equipment/link-belt/excavators/235_x3_spin_ace/id/39388495, STATEN ISLAND,NY, 10303,US,ESSCO Truck & Equipment,Used," Staten Island, NY"
Caterpillar,315FL,2017,Excavators,Standard Excavators,Null,98000,USD, 21E013, 6740,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/315fl/id/39000831, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,321D LCR,2013,Excavators,Large Excavators,148 hp,95000,USD, 21E034, 5375,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/321d_lcr/id/39866745, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,336DL,2010,Excavators,Large Excavators,268 hp,92000,USD, 19E007, 11788,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/336dl/id/20622814, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,320DL,2008,Excavators,Large Excavators,148 hp,78000,USD, 20E058, 6525,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/320dl/id/36756704, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,328D LCR,2012,Excavators,Large Excavators,204 hp,76000,USD, 21E029, 9232,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/328d_lcr/id/39866746, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,308E2 CR,2017,Excavators,Mid-Sized Excavators,67 hp,58500,USD, 21E024, 6640,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/308e2_cr/id/39202060, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Caterpillar,336EL,2012,Excavators,Large Excavators,323 hp,0,USD, 21E016, 8820,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/336el/id/39304900, NEWARK,NJ, 07105,US,Newark Equipment Sales Corp.,Used," Newark, NJ"
Volvo,EC380D,2018,Excavators,Large Excavators,293 hp,190000,USD, EC380EL311666, 4500,Hours,https://www.constructionequipmentguide.com/used-equipment/volvo/excavators/ec380d/id/39388496, STATEN ISLAND,NY, 10303,US,ESSCO Truck & Equipment,Used," Staten Island, NY"
Volvo,EC460C,2008,Excavators,Large Excavators,329 hp,85000,USD, EC460C110201,Null,Null,https://www.constructionequipmentguide.com/used-equipment/volvo/excavators/ec460c/id/39388497, STATEN ISLAND,NY, 10303,US,ESSCO Truck & Equipment,Used," Staten Island, NY"
Link-Belt,235 X3 SPIN ACE,2014,Excavators,Large Excavators,Null,74888,USD,Null, 7714,Hours,https://www.constructionequipmentguide.com/used-equipment/link-belt/excavators/235_x3_spin_ace/id/39388495, STATEN ISLAND,NY, 10303,US,ESSCO Truck & Equipment,Used," Staten Island, NY"
Case,CX350C,2015,Excavators,Large Excavators,266 hp,306410,USD, NES6P1406, 847,Hours,https://www.constructionequipmentguide.com/used-equipment/case/excavators/cx350c/id/20294769, BRONX,NY, 10462,US,Hoffman Equipment,Used," Bronx, NY"
Doosan,DX350 LC-5,2017,Excavators,Large Excavators,318 hp,297800,USD, DWGCECEBLH1020084, 1070,Hours,https://www.constructionequipmentguide.com/used-equipment/doosan/excavators/dx350_lc-5/id/20308044, BRONX,NY, 10462,US,Hoffman Equipment,Used," Bronx, NY"
Doosan,DX350 LC-5,2017,Excavators,Large Excavators,318 hp,295100,USD, DWGCECEBHH1020085, 884,Hours,https://www.constructionequipmentguide.com/used-equipment/doosan/excavators/dx350_lc-5/id/20308042, BRONX,NY, 10462,US,Hoffman Equipment,Used," Bronx, NY"
Doosan,DX140W-5,2016,Excavators,Standard Wheeled Excavators,132 hp,145000,USD, DHKCEWANTG5001667, 134,Hours,https://www.constructionequipmentguide.com/used-equipment/doosan/excavators/dx140w-5/id/20309996, BRONX,NY, 10462,US,Hoffman Equipment,New," Bronx, NY"
Case,CX350D,2017,Excavators,Large Excavators,268 hp,0,USD, NHS7P1249, 347,Hours,https://www.constructionequipmentguide.com/used-equipment/case/excavators/cx350d/id/20309992, BRONX,NY, 10462,US,Hoffman Equipment,Used," Bronx, NY"
Caterpillar,374F,2018,Excavators,Large Excavators,472 hp,500000,USD, EBF20052, 4992,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/374f/id/39079316, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,349FL,2018,Excavators,Large Excavators,Null,378000,USD, BZ220321, 2069,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/349fl/id/36084822, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,349FL TC,2017,Excavators,Large Excavators,Null,372000,USD, BZ210096, 2243,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/349fl_tc/id/28785879, PISCATAWAY,NJ, 08854,US,Foley Incorporated," - All sales are as-is unless otherwise stated. Foley does its best to disclose all known issues with the machine,. "," Piscataway, NJ"
Caterpillar,349FL TC,2018,Excavators,Large Excavators,Null,367000,USD, BZ220006, 2186,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/349fl_tc/id/30785851, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,349FL TC,2018,Excavators,Large Excavators,Null,333500,USD, BZ210339, 3216,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/349fl_tc/id/30367506, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,349FL TC,2017,Excavators,Large Excavators,Null,289000,USD, BZ210112, 4815,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/349fl_tc/id/39767131, PISCATAWAY,NJ, 08854,US,Foley Incorporated, - All sales are as-is unless otherwise stated. Foley does its best to disclose all known issues with the machine.," Piscataway, NJ"
Caterpillar,349FL TC,2017,Excavators,Large Excavators,Null,278000,USD, BZ210018, 5479,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/349fl_tc/id/36084821, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,349FL TCMP,2017,Excavators,Large Excavators,Null,267000,USD, BZ210042, 4466,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/349fl_tcmp/id/33608334, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,335F,2019,Excavators,Large Excavators,Null,267000,USD, SGJ20513, 1485,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/335f/id/39630110, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Doosan,DX350 LC-5,2016,Excavators,Large Excavators,318 hp,266700,USD, DWGCECBDPE1010096, 1999,Hours,https://www.constructionequipmentguide.com/used-equipment/doosan/excavators/dx350_lc-5/id/20308036, PISCATAWAY,NJ, 08855,US,Hoffman Equipment,Used," Piscataway, NJ"
Caterpillar,335FLCR,2018,Excavators,Large Excavators,Null,254500,USD, SGJ20100, 1836,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/335flcr/id/35906821, PISCATAWAY,NJ, 08854,US,Foley Incorporated, - All sales are as-is unless otherwise stated. Foley does its best to disclose all known issues with the machine.," Piscataway, NJ"
Caterpillar, 328DLCR,2013,Excavators,Large Excavators,204 hp,252000,USD, RMX00660, 1750,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/328dlcr/id/16226626, PISCATAWAY,NJ, 08854,US,Foley Incorporated," - Tool control, hydr coupler, 42"" bucket"," Piscataway, NJ"
Caterpillar,336FLXETCG,2017,Excavators,Large Excavators,319 hp,250000,USD, DFY10016, 2092,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/336flxetcg/id/38140808, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,335F,2019,Excavators,Large Excavators,Null,250000,USD, SGJ20429, 1258,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/335f/id/37790942, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,326FL,2019,Excavators,Large Excavators,Null,249000,USD, FBR20530, 210,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/326fl/id/36875453, PISCATAWAY,NJ, 08854,US,Foley Incorporated,No," Piscataway, NJ"
Caterpillar, 328DLCR,2013,Excavators,Large Excavators,204 hp,248000,USD, RMX00532, 1959,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/328dlcr/id/16226628, PISCATAWAY,NJ, 08854,US,Foley Incorporated," - tool control, coupler, 48"" bucket"," Piscataway, NJ"
Caterpillar, 328DLCR,2013,Excavators,Large Excavators,204 hp,245000,USD, RMX00474, 2310,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/328dlcr/id/16226627, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,336GC,2019,Excavators,Large Excavators,Null,239000,USD, EBJ00213, 1341,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/336gc/id/39101370, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,326F,2018,Excavators,Large Excavators,203 hp,205500,USD, FBR20247, 1319,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/326f/id/38140806, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,336EL,2012,Excavators,Large Excavators,323 hp,199000,USD, YEP00303, 4573,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/336el/id/28809385, PISCATAWAY,NJ, 08854,US,Foley Incorporated, - All sales are as-is unless otherwise stated. Foley does its best to disclose all known issues with the machine.," Piscataway, NJ"
Caterpillar,336FL,2017,Excavators,Large Excavators,319 hp,191000,USD, RKB10481, 3687,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/336fl/id/28785837, PISCATAWAY,NJ, 08854,US,Foley Incorporated, - All sales are as-is unless otherwise stated. Foley does its best to disclose all known issues with the machine.," Piscataway, NJ"
Caterpillar,349EL TC,2014,Excavators,Large Excavators,Null,189500,USD, MPZ00804, 6261,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/349el_tc/id/28785781, PISCATAWAY,NJ, 08854,US,Foley Incorporated, - All sales are as-is unless otherwise stated. Foley does its best to disclose all known issues with the machine.," Piscataway, NJ"
Caterpillar,336FL TC,2016,Excavators,Large Excavators,319 hp,189000,USD, RKB01835, 3937,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/336fl_tc/id/28785856, PISCATAWAY,NJ, 08854,US,Foley Incorporated, - All sales are as-is unless otherwise stated. Foley does its best to disclose all known issues with the machine.," Piscataway, NJ"
Caterpillar,335FCRTCM,2015,Excavators,Large Excavators,Null,189000,USD, KNE00274, 4126,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/335fcrtcm/id/34237319, PISCATAWAY,NJ, 08854,US,Foley Incorporated,"Fair - Swivel guard, some dents"," Piscataway, NJ"
Caterpillar,335FLCR,2015,Excavators,Large Excavators,Null,189000,USD, KNE00404, 3817,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/335flcr/id/38982698, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,M320F,2015,Excavators,Standard Wheeled Excavators,Null,183500,USD, F2W00327, 1490,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/m320f/id/26634475, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,328D LCR,2013,Excavators,Large Excavators,204 hp,178000,USD, RMX00381, 3977,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/328d_lcr/id/20199565, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Good," Piscataway, NJ"
Caterpillar,M320F,2015,Excavators,Standard Wheeled Excavators,Null,169000,USD, F2W00246, 2255,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/m320f/id/31647453, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,335FLCR,2016,Excavators,Large Excavators,Null,165000,USD, KNE00435, 4795,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/335flcr/id/39010081, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,336FL TC,2017,Excavators,Large Excavators,319 hp,150000,USD, SSN10028, 7317,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/336fl_tc/id/36084820, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Doosan,DX235 LCR-5,2017,Excavators,Large Excavators,189 hp,149900,USD, DHKCEBBWCH0001517, 1036,Hours,https://www.constructionequipmentguide.com/used-equipment/doosan/excavators/dx235_lcr-5/id/20308040, PISCATAWAY,NJ, 08855,US,Hoffman Equipment,New," Piscataway, NJ"
Doosan,DX235 LCR-5,2018,Excavators,Large Excavators,189 hp,149900,USD, DHKCEBBWTH0001561, 1415,Hours,https://www.constructionequipmentguide.com/used-equipment/doosan/excavators/dx235_lcr-5/id/20308041, PISCATAWAY,NJ, 08855,US,Hoffman Equipment,Used," Piscataway, NJ"
Caterpillar,336FL TC,2018,Excavators,Large Excavators,319 hp,139000,USD, RKB10883, 6407,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/336fl_tc/id/36115981, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,336FL TC,2017,Excavators,Large Excavators,319 hp,133500,USD, SSN10032, 6171,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/336fl_tc/id/33227172, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,336FLXETCG,2015,Excavators,Large Excavators,319 hp,133500,USD, LTP00182, 5981,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/336flxetcg/id/36115988, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Doosan,DX225 LC-5,2015,Excavators,Large Excavators,166 hp,99500,USD, DHKCEBBUHF0001017, 1300,Hours,https://www.constructionequipmentguide.com/used-equipment/doosan/excavators/dx225_lc-5/id/20308031, PISCATAWAY,NJ, 08855,US,Hoffman Equipment,New," Piscataway, NJ"
Caterpillar,313F GC,2015,Excavators,Standard Excavators,70 hp,95500,USD, HDK00181, 1376,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/313f_gc/id/28712267, PISCATAWAY,NJ, 08854,US,Foley Incorporated, - Bucket does not sit flush on the ground. Something may have a tweak," Piscataway, NJ"
Komatsu,PC490LC-11,2015,Excavators,Large Excavators,362 hp,91000,USD, A41025, 7809,Hours,https://www.constructionequipmentguide.com/used-equipment/komatsu/excavators/pc490lc-11/id/33043452, PISCATAWAY,NJ, 08854,US,Foley Incorporated, - Several gouges," Piscataway, NJ"
JCB,8055 ZTS,2015,Excavators,Mini Excavators,Null,66900,USD, 2426219, 503,Hours,https://www.constructionequipmentguide.com/used-equipment/jcb/excavators/8055_zts/id/20311734, PISCATAWAY,NJ, 08855,US,Hoffman Equipment,New," Piscataway, NJ"
Caterpillar,314ELCR,2015,Excavators,Standard Excavators,89 hp,0,USD, ZJT01480, 3094,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/314elcr/id/39857188, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Caterpillar,314ELCR TC,2015,Excavators,Null,Null,0,USD, ZJT01320, 3516,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/314elcr_tc/id/39857192, PISCATAWAY,NJ, 08854,US,Foley Incorporated,Null," Piscataway, NJ"
Kobelco,SK170 LC-10,2017,Excavators,Standard Excavators,Null,125000,USD, YM0901119, 1451,Hours,https://www.constructionequipmentguide.com/used-equipment/kobelco/excavators/sk170_lc-10/id/25425313, MILLSTONE TOWNSHIP,NJ, 08535,US,Highway Equipment Company,Used," Millstone Township, NJ"
Kobelco,SK140SR LC-3,2015,Excavators,Standard Excavators,Null,98900,USD, YH0709968, 1335,Hours,https://www.constructionequipmentguide.com/used-equipment/kobelco/excavators/sk140sr_lc-3/id/25425310, MILLSTONE TOWNSHIP,NJ, 08535,US,Highway Equipment Company,Used," Millstone Township, NJ"
Kobelco,SK85CS-3E,2017,Excavators,Standard Excavators,55 hp,0,USD, LF0806195, 1440,Hours,https://www.constructionequipmentguide.com/used-equipment/kobelco/excavators/sk85cs-3e/id/25425307, MILLSTONE TOWNSHIP,NJ, 08535,US,Highway Equipment Company,Used," Millstone Township, NJ"
Hyundai, HW210,2019,Excavators,Standard Wheeled Excavators,Null,179000,USD, HHKHK602TK0000318, 218,Hours,https://www.constructionequipmentguide.com/used-equipment/hyundai/excavators/hw210/id/27754074, WEST BABYLON,NY, 11704,US,All Island Equipment,Null," West Babylon, NY"
Hyundai, ROBEX 17Z-9A,2021,Excavators,Mini Excavators,Null,35900,USD, 1567, 4,Hours,https://www.constructionequipmentguide.com/used-equipment/hyundai/excavators/robex_17z-9a/id/39682522, WEST BABYLON,NY, 11704,US,All Island Equipment,Null," West Babylon, NY"
Kobelco, SK300,2020,Excavators,Large Excavators,Null,0,USD, LB08S00245, 90,Hours,https://www.constructionequipmentguide.com/used-equipment/kobelco/excavators/sk300/id/31475235, WEST BABYLON,NY, 11704,US,All Island Equipment,Null," West Babylon, NY"
Takeuchi, TB260CR,2021,Excavators,Mid-Sized Excavators,Null,0,USD, 126106023, 4,Hours,https://www.constructionequipmentguide.com/used-equipment/takeuchi/excavators/tb260cr/id/39639434, WEST BABYLON,NY, 11704,US,All Island Equipment,Null," West Babylon, NY"
Hyundai, HX145LCR,2021,Excavators,Standard Excavators,Null,0,USD, 1412, 205,Hours,https://www.constructionequipmentguide.com/used-equipment/hyundai/excavators/hx145lcr/id/39683561, WEST BABYLON,NY, 11704,US,All Island Equipment,Null," West Babylon, NY"
Hyundai, ROBEX 35Z-9A,2021,Excavators,Mini Excavators,Null,0,USD, 1074, 5,Hours,https://www.constructionequipmentguide.com/used-equipment/hyundai/excavators/robex_35z-9a/id/39683305, WEST BABYLON,NY, 11704,US,All Island Equipment,Null," West Babylon, NY"
Takeuchi, TB225,2021,Excavators,Mini Excavators,Null,0,USD, 122600106, 2,Hours,https://www.constructionequipmentguide.com/used-equipment/takeuchi/excavators/tb225/id/39639436, WEST BABYLON,NY, 11704,US,All Island Equipment,Null," West Babylon, NY"
Caterpillar,336EL,2012,Excavators,Large Excavators,323 hp,0,USD, BZY01597, 6497,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/336el/id/35873442, WEST NYACK,NY, 10994,US,Ironhorse Equipment Inc.,Used," Brentwood, NY"
Caterpillar,326FL,2015,Excavators,Large Excavators,Null,0,USD, CAT0326FLWGL00269, 5082,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/326fl/id/20316203, WEST NYACK,NY, 10994,US,Ironhorse Equipment Inc.,Used," Brentwood, NY"
Caterpillar,322CL,2004,Excavators,Large Excavators,Null,0,USD, CAT0322CAHEK00665, 11129,Hours,https://www.constructionequipmentguide.com/used-equipment/caterpillar/excavators/322cl/id/20310519, WEST NYACK,NY, 10994,US,Ironhorse Equipment Inc.,Used," Brentwood, NY"
Link-Belt,250 X4,2018,Excavators,Large Excavators,Null,0,USD, 250Q7NGNEX1320, 1250,Hours,https://www.constructionequipmentguide.com/used-equipment/link-belt/excavators/250_x4/id/31734157, MIDDLETOWN,NY, 10940,US,Contractors Sales Company Inc.,Used," Middletown, NY"
Link-Belt,350 X4,2019,Excavators,Large Excavators,Null,0,USD, Q7NKHEX1752, 1087,Hours,https://www.constructionequipmentguide.com/used-equipment/link-belt/excavators/350_x4/id/31734180, MIDDLETOWN,NY, 10940,US,Contractors Sales Company Inc.,Used," Middletown, NY"
Link-Belt,80 X3 SPIN ACE,2020,Excavators,Mid-Sized Excavators,Null,0,USD, LBX080Q6NLHEX1684, 427,Hours,https://www.constructionequipmentguide.com/used-equipment/link-belt/excavators/80_x3_spin_ace/id/31734249, MIDDLETOWN,NY, 10940,US,Contractors Sales Company Inc.,Used," Middletown, NY"
Link-Belt,210 X4,2017,Excavators,Large Excavators,Null,0,USD, 210Q7NGHEX1243, 2134,Hours,https://www.constructionequipmentguide.com/used-equipment/link-belt/excavators/210_x4/id/31734150, MIDDLETOWN,NY, 10940,US,Contractors Sales Company Inc.,Used," Middletown, NY"
Link-Belt,210 X4,2020,Excavators,Large Excavators,Null,0,USD, Q7NKHEX1837, 57,Hours,https://www.constructionequipmentguide.com/used-equipment/link-belt/excavators/210_x4/id/31734238, MIDDLETOWN,NY, 10940,US,Contractors Sales Company Inc.,Used," Middletown, NY"
Link-Belt,130 X4,2019,Excavators,Standard Excavators,Null,0,USD, Q7NJHEX1190, 647,Hours,https://www.constructionequipmentguide.com/used-equipment/link-belt/excavators/130_x4/id/31734193, MIDDLETOWN,NY, 10940,US,Contractors Sales Company Inc.,Used," Middletown, NY"
Link-Belt,245 X4 SPIN ACE,2019,Excavators,Large Excavators,Null,0,USD, LBX245Q7NJHEX1298, 1548,Hours,https://www.constructionequipmentguide.com/used-equipment/link-belt/excavators/245_x4_spin_ace/id/31734173, MIDDLETOWN,NY, 10940,US,Contractors Sales Company Inc.,Used," Middletown, NY"
Link-Belt,245 X4 SPIN ACE,2019,Excavators,Large Excavators,Null,0,USD, Q7NKHEX1396, 1386,Hours,https://www.constructionequipmentguide.com/used-equipment/link-belt/excavators/245_x4_spin_ace/id/31734197, MIDDLETOWN,NY, 10940,US,Contractors Sales Company Inc.,Used," Middletown, NY"
Doosan,DX350 LC-5,2015,Excavators,Large Excavators,318 hp,225000,USD, 010179, 738,Hours,https://www.constructionequipmentguide.com/used-equipment/doosan/excavators/dx350_lc-5/id/20306579, BREWSTER,NY, 10509,US,"Westchester Tractor, Inc.",Used," Brewster, NY"
Kobelco,SK85CS-3E,2015,Excavators,Standard Excavators,55 hp,79995,USD, LF0805855, 2572,Hours,https://www.constructionequipmentguide.com/used-equipment/kobelco/excavators/sk85cs-3e/id/34369603, BREWSTER,NY, 10509,US,"Westchester Tractor, Inc.",Used," Brewster, NY"
Kobelco,SK210 LC DYNAMIC ACERA,2005,Excavators,Large Excavators,150 hp,59995,USD, YQ08-U2300,Null,Null,https://www.constructionequipmentguide.com/used-equipment/kobelco/excavators/sk210_lc_dynamic_acera/id/27995430, BREWSTER,NY, 10509,US,"Westchester Tractor, Inc.",Used," Brewster, NY"
New Holland,E30B,2017,Excavators,Mini Excavators,28 hp,41995,USD, NGTN61402, 290,Hours,https://www.constructionequipmentguide.com/used-equipment/new-holland/excavators/e30b/id/20735813, BREWSTER,NY, 10509,US,"Westchester Tractor, Inc.",Used," Brewster, NY"
Kubota,KX91-3,2003,Excavators,Mini Excavators,28 hp,31500,USD, 20443,Null,Null,https://www.constructionequipmentguide.com/used-equipment/kubota/excavators/kx91-3/id/39687693, BREWSTER,NY, 10509,US,"Westchester Tractor, Inc.",Used," Brewster, NY"
Link-Belt,300X4,2015,Excavators,Large Excavators,Null,185000,USD, EJEK5-9733, 2510,Hours,https://www.constructionequipmentguide.com/used-equipment/link-belt/excavators/300x4/id/20296717, BAYVILLE,NJ, 08721,US,Jersey Rents,Used," Bayville, NJ"
Link-Belt,210 LX,2006,Excavators,Large Excavators,Null,76500,USD, K3J6-1159, 2200,Hours,https://www.constructionequipmentguide.com/used-equipment/link-belt/excavators/210_lx/id/20298023, BAYVILLE,NJ, 08721,US,Jersey Rents,Used," Bayville, NJ"
Doosan,DX420 LC,2011,Excavators,Large Excavators,293 hp,0,USD, DHKHECEOP60005044, 3782,Hours,https://www.constructionequipmentguide.com/used-equipment/doosan/excavators/dx420_lc/id/39706206, BAYVILLE,NJ, 08721,US,Jersey Rents,Used," Bayville, NJ"
Doosan,DX480 LC,2011,Excavators,Large Excavators,328 hp,0,USD, DHKHECFOV70005168, 5460,Hours,https://www.constructionequipmentguide.com/used-equipment/doosan/excavators/dx480_lc/id/39706207, BAYVILLE,NJ, 08721,US,Jersey Rents,Used," Bayville, NJ"
Link-Belt,160 X2,2010,Excavators,Standard Excavators,120 hp,0,USD, EGCK0-4249, 6826,Hours,https://www.constructionequipmentguide.com/used-equipment/link-belt/excavators/160_x2/id/20885423, BAYVILLE,NJ, 08721,US,Jersey Rents,Used," Bayville, NJ"
